fid,id,N37W123,X,Y
"463","2",,6044973.2209000001,2131363.6324999998
"464","2",,6045973.2209000001,2131363.6324999998
"465","2",,6046973.2209000001,2131363.6324999998
"466","2",,6047973.2209000001,2131363.6324999998
"467","2",,6048973.2209000001,2131363.6324999998
"468","2",,6049973.2209000001,2131363.6324999998
"469","2",,6050973.2209000001,2131363.6324999998
"470","2",,6051973.2209000001,2131363.6324999998
"471","2",,6052973.2209000001,2131363.6324999998
"472","2",,6053973.2209000001,2131363.6324999998
"473","2",,6054973.2209000001,2131363.6324999998
"474","2",,6055973.2209000001,2131363.6324999998
"475","2",,6056973.2209000001,2131363.6324999998
"476","2",,6057973.2209000001,2131363.6324999998
"477","2",,6058973.2209000001,2131363.6324999998
"478","2",,6059973.2209000001,2131363.6324999998
"479","2",,6060973.2209000001,2131363.6324999998
"480","2",,6061973.2209000001,2131363.6324999998
"481","2",,6062973.2209000001,2131363.6324999998
"482","2",,6063973.2209000001,2131363.6324999998
"483","2",,6064973.2209000001,2131363.6324999998
"484","2",,6065973.2209000001,2131363.6324999998
"485","2",,6066973.2209000001,2131363.6324999998
"486","2",,6067973.2209000001,2131363.6324999998
"487","2",,6068973.2209000001,2131363.6324999998
"488","2",,6069973.2209000001,2131363.6324999998
"489","2",,6070973.2209000001,2131363.6324999998
"490","2",,6071973.2209000001,2131363.6324999998
"491","2",,6072973.2209000001,2131363.6324999998
"492","2",,6073973.2209000001,2131363.6324999998
"493","2",,6074973.2209000001,2131363.6324999998
"494","2",,6075973.2209000001,2131363.6324999998
"495","2",,6076973.2209000001,2131363.6324999998
"496","2",,6077973.2209000001,2131363.6324999998
"497","2",,6078973.2209000001,2131363.6324999998
"498","2",,6079973.2209000001,2131363.6324999998
"499","2",,6080973.2209000001,2131363.6324999998
"500","2",,6081973.2209000001,2131363.6324999998
"501","2",,6082973.2209000001,2131363.6324999998
"502","2",,6083973.2209000001,2131363.6324999998
"503","2",,6084973.2209000001,2131363.6324999998
"504","2",,6085973.2209000001,2131363.6324999998
"505","2",,6086973.2209000001,2131363.6324999998
"506","2",,6087973.2209000001,2131363.6324999998
"507","2",,6088973.2209000001,2131363.6324999998
"508","2",,6089973.2209000001,2131363.6324999998
"509","2",,6090973.2209000001,2131363.6324999998
"510","2",,6091973.2209000001,2131363.6324999998
"511","2",,6092973.2209000001,2131363.6324999998
"512","2",,6093973.2209000001,2131363.6324999998
"513","2",,6094973.2209000001,2131363.6324999998
"514","2",,6095973.2209000001,2131363.6324999998
"515","2",,6096973.2209000001,2131363.6324999998
"516","2",,6097973.2209000001,2131363.6324999998
"517","2",,6098973.2209000001,2131363.6324999998
"518","2",,6099973.2209000001,2131363.6324999998
"519","2",,6100973.2209000001,2131363.6324999998
"520","2",,6101973.2209000001,2131363.6324999998
"521","2",,6102973.2209000001,2131363.6324999998
"522","2",,6103973.2209000001,2131363.6324999998
"523","2",,6104973.2209000001,2131363.6324999998
"524","2",,6105973.2209000001,2131363.6324999998
"525","2",,6106973.2209000001,2131363.6324999998
"526","2",,6107973.2209000001,2131363.6324999998
"527","2",,6108973.2209000001,2131363.6324999998
"528","2",,6109973.2209000001,2131363.6324999998
"529","2",,6110973.2209000001,2131363.6324999998
"530","2",,6111973.2209000001,2131363.6324999998
"531","2",,6112973.2209000001,2131363.6324999998
"532","2",,6113973.2209000001,2131363.6324999998
"533","2",,6114973.2209000001,2131363.6324999998
"534","2",,6115973.2209000001,2131363.6324999998
"535","2",,6116973.2209000001,2131363.6324999998
"536","2",,6117973.2209000001,2131363.6324999998
"537","2",,6118973.2209000001,2131363.6324999998
"538","2",,6119973.2209000001,2131363.6324999998
"539","2",,6120973.2209000001,2131363.6324999998
"540","2",,6121973.2209000001,2131363.6324999998
"541","2",,6122973.2209000001,2131363.6324999998
"542","2",,6123973.2209000001,2131363.6324999998
"543","2",,6124973.2209000001,2131363.6324999998
"544","2",,6125973.2209000001,2131363.6324999998
"545","2",,6126973.2209000001,2131363.6324999998
"546","2",,6127973.2209000001,2131363.6324999998
"547","2",,6128973.2209000001,2131363.6324999998
"548","2",,6129973.2209000001,2131363.6324999998
"549","2",,6130973.2209000001,2131363.6324999998
"550","2",,6131973.2209000001,2131363.6324999998
"551","2",,6132973.2209000001,2131363.6324999998
"552","2",,6133973.2209000001,2131363.6324999998
"553","2",,6134973.2209000001,2131363.6324999998
"554","2",,6135973.2209000001,2131363.6324999998
"555","2",,6136973.2209000001,2131363.6324999998
"556","2",,6137973.2209000001,2131363.6324999998
"557","2",,6138973.2209000001,2131363.6324999998
"558","2",,6139973.2209000001,2131363.6324999998
"559","2",,6140973.2209000001,2131363.6324999998
"560","2",,6141973.2209000001,2131363.6324999998
"561","2",,6142973.2209000001,2131363.6324999998
"562","2",,6143973.2209000001,2131363.6324999998
"563","2",,6144973.2209000001,2131363.6324999998
"564","2",,6145973.2209000001,2131363.6324999998
"565","2",,6146973.2209000001,2131363.6324999998
"566","2",,6147973.2209000001,2131363.6324999998
"567","2",,6148973.2209000001,2131363.6324999998
"568","5",,5960973.2209000001,2121521.1127999998
"569","5",,5961973.2209000001,2121521.1127999998
"570","5",,5962973.2209000001,2121521.1127999998
"571","5",,5963973.2209000001,2121521.1127999998
"572","5",,5964973.2209000001,2121521.1127999998
"573","5",,5965973.2209000001,2121521.1127999998
"574","5",,5966973.2209000001,2121521.1127999998
"575","5",,5967973.2209000001,2121521.1127999998
"576","5",,5968973.2209000001,2121521.1127999998
"577","5",,5969973.2209000001,2121521.1127999998
"578","5",,5970973.2209000001,2121521.1127999998
"579","5",,5971973.2209000001,2121521.1127999998
